일시,가시리풍력,김녕풍력,동복풍력,신창풍력,행원풍력,풍력전체
2022-10-01,99.36,386.1,345.6,356.22,1736.64,2923.92
2022-10-02,26039.52,2464.74,125020.8,2727.18,35874.12,192126.36
2022-10-03,119803.68,2296.26,56678.4,3962.88,61107.78,243849
2022-10-04,163530.72,6944.22,171216,2456.1,105446.1,449593.14
2022-10-05,153606.24,5238.72,94896,3744.36,61109.16,318594.48
2022-10-06,128604.96,2653.74,59932.8,3124.98,32968.26,227284.74
2022-10-07,134506.08,9168.12,125712,778.68,78610.44,348775.32
2022-10-08,58200.48,8036.82,229651.2,2032.74,137834.1,435755.34
2022-10-09,46909.44,4214.52,158947.2,819.72,95823.36,306714.24
2022-10-10,80318.88,52.38,417859.2,1064.34,122855.7,622150.5
2022-10-11,124810.56,2930.58,291312,2817,112393.68,534263.82
2022-10-12,49583.52,2763,84470.4,3956.94,45857.4,186631.26
2022-10-13,43129.44,8800.74,169401.6,2060.64,103018.56,326410.98
2022-10-14,30784.32,2031.3,57369.6,613.62,35043,125841.84
2022-10-15,23071.68,1553.04,21168,2195.64,20430.12,68418.48
2022-10-16,24112.8,1892.7,33062.4,3181.68,40401.12,102650.7
2022-10-17,78497.28,3381.3,329212.8,1816.02,104121.54,517028.94
2022-10-18,73571.04,7851.6,329616,1802.16,109705.5,522546.3
2022-10-19,98953.92,4847.94,101203.2,2751.3,64487.76,272244.12
2022-10-20,23595.84,380.16,12038.4,2511.9,4410.12,42936.42
2022-10-21,187.2,288.54,8294.4,1104.66,1726.92,11601.72
2022-10-22,33092.64,1030.5,9792,2346.48,17542.26,63803.88
2022-10-23,132363.36,5009.76,179683.2,1626.66,114692.04,433375.02
2022-10-24,107719.2,7388.46,319852.8,2250,137342.4,574552.86
2022-10-25,39212.64,3261.42,78624,2284.92,55726.08,179109.06
2022-10-26,22439.52,5072.04,99504,2853.36,98132.4,228001.32
2022-10-27,33999.84,513.54,5788.8,1573.92,7027.5,48903.6
2022-10-28,39026.88,284.94,3600,1393.02,6052.62,50357.46
2022-10-29,44498.88,1999.98,154713.6,5319.36,109174.86,315706.68
2022-10-30,25351.2,3909.06,144576,2834.46,113458.56,290129.28
2022-10-31,44105.76,6059.52,177984,2488.68,117274.62,347912.58
2022-11-01,82042.56,2727,32918.4,2316.6,45916.26,165920.82
2022-11-02,63809.28,378.18,9244.8,3200.76,6465.72,83098.74
2022-11-03,54106.56,4331.34,123696,1074.06,55614.78,238822.74
2022-11-04,109762.56,13776.66,351072,2077.92,135306.24,611995.38
2022-11-05,114302.88,7496.82,196876.8,2287.62,102142.32,423106.44
2022-11-06,58114.08,1468.08,18460.8,2725.56,22533.9,103302.42
2022-11-07,15305.76,128.88,1411.2,381.96,735.24,17963.04
2022-11-08,5772.96,235.98,144,131.04,2652.78,8936.76
2022-11-09,597.6,315.54,9043.2,382.5,1297.92,11636.76
2022-11-10,50.4,1007.64,29577.6,496.26,22400.52,53532.42
2022-11-11,8578.08,2044.62,71510.4,351.9,46108.26,128593.26
2022-11-12,62164.8,1750.86,128563.2,5174.28,31961.1,229614.24
2022-11-13,104646.24,10035.36,276393.6,2567.34,120297.24,513939.78
2022-11-14,135839.52,6729.3,153072,4602.78,94116.18,394359.78
2022-11-15,65538.72,4479.84,116611.2,3456,75736.62,265822.38
2022-11-16,63426.24,1088.82,31219.2,551.7,20778.96,117064.92
2022-11-17,4366.08,1098.9,13622.4,969.84,21462.18,41519.4
2022-11-18,28766.88,5446.98,97056,5146.74,96646.8,233063.4
2022-11-19,15323.04,7725.96,165340.8,1507.5,96709.92,286607.22
2022-11-20,13040.64,4395.06,93168,2920.32,90456.78,203980.8
2022-11-21,6393.6,252.72,2851.2,1887.3,4096.98,15481.8
2022-11-22,13512.96,3092.04,79344,5154.12,48957.36,150060.48
2022-11-23,104369.76,6967.8,132019.2,18275.94,90236.22,351868.92
2022-11-24,99266.4,1952.1,43516.8,9228.06,50310.18,204273.54
2022-11-25,7932.96,444.06,19814.4,2767.14,5682.12,36640.68
2022-11-26,83331.36,2697.66,51494.4,11127.78,41619.66,190270.86
2022-11-27,25344,850.14,42595.2,4627.62,11195.22,84612.18
2022-11-28,109841.76,3201.84,245491.2,13962.24,72920.46,445417.5
2022-11-29,139514.4,5172.12,416419.2,11472.3,116071.26,688649.28
2022-11-30,151695.36,0,580579.2,1677.96,146060.58,880013.1
2022-12-01,51348.96,541.8,127094.4,6754.68,49760.4,235500.24
2022-12-02,13475.52,834.84,16416,5113.8,8527.81,44367.97
2022-12-03,20383.2,816.3,6681.6,5211.18,10396.688,43488.968
2022-12-04,226183.68,4272.12,129657.6,21405.78,60069.843,441589.023
2022-12-05,213857.28,8091,312739.2,21817.62,109614.241,666119.341
2022-12-06,91133.28,8041.86,284342.4,14946.66,94056.171,492520.371
2022-12-07,64074.24,6114.78,154598.4,9048.78,68308.369,302144.569
2022-12-08,58596.48,521.46,4694.4,6450.3,10895.027,81157.667
2022-12-09,22762.08,220.32,115.2,4945.68,1598.981,29642.261
2022-12-10,82800,981.9,19785.6,9176.58,13619.406,126363.486
2022-12-11,97909.92,8157.06,157248,14996.7,63284.505,341596.185
2022-12-12,142924.32,3361.5,135331.2,11156.04,50626.401,343399.461
2022-12-13,110351.52,3275.28,507398.4,19124.46,140826.948,780976.608
2022-12-14,96739.2,2000.52,357177.6,18834.3,110878.862,585630.482
2022-12-15,4314.24,210.24,9763.2,1222.2,1814.79,17324.67
2022-12-16,184734.72,1447.2,148089.6,19505.88,70461.201,424238.601
2022-12-17,125174.88,3906.72,451584,18533.52,136055.047,735254.167
2022-12-18,84817.44,17.46,533059.2,11993.76,133511.39,763399.25
2022-12-19,8665.92,2879.64,160732.8,13244.58,54125.596,239648.536
2022-12-20,5050.08,527.58,30499.2,1717.02,4241.181,42035.061
2022-12-21,43297.92,4321.8,170409.6,14003.28,52681.379,284713.979
2022-12-22,112524.48,1562.58,560736,23106.96,143485.167,841415.187
2022-12-23,116912.16,21.06,356227.2,9947.34,37438.748,520546.508
2022-12-24,150176.16,3594.78,397612.8,15145.38,71127.21,637656.33
2022-12-25,168004.8,9558.18,337939.2,19171.62,115678.247,650352.047
2022-12-26,103717.44,8006.58,197971.2,13921.02,84476.089,408092.329
2022-12-27,166082.4,9006.48,221414.4,14657.04,96480.622,507640.942
2022-12-28,157855.68,7432.2,191203.2,14562,94935.093,465988.173
2022-12-29,61175.52,6262.02,162316.8,14533.2,81609.495,325897.035
2022-12-30,14986.08,4761.36,139046.4,11412.9,58752.722,228959.462
2022-12-31,63270.72,6750.18,196387.2,12797.46,81099.232,360304.792
