,mrate,mse,dataset,method,mtype,lags,nof_filters,inter_method,epoch,calculation_time,model
54,0.125,1.27236901516017,FiveVTS,GNAR,block,2,,,,,GNAR
55,0.288461538461538,1.01711895636587,Chickenpox,GNAR,block,4,,,,,GNAR
56,0.294117647058824,0.491606798122439,Pedalme,GNAR,block,4,,,,,GNAR
57,0.120247806680006,0.900998585703631,Wikimath,GNAR,block,8,,,,,GNAR
59,0.149543891132047,1.00289388004384,MontevideoBus,GNAR,block,8,,,,,GNAR
0,0.286188541010818,0.980469763914992,Windmillsmall,GNAR,block,8,,,,,GNAR
0,0.0,1.25772862480285,FiveVTS,GNAR,rand,2,,,,,GNAR
1,0.1,1.25273543191476,FiveVTS,GNAR,rand,2,,,,,GNAR
2,0.2,1.26552419352315,FiveVTS,GNAR,rand,2,,,,,GNAR
3,0.3,1.25093689944059,FiveVTS,GNAR,rand,2,,,,,GNAR
4,0.4,1.27140162510466,FiveVTS,GNAR,rand,2,,,,,GNAR
5,0.5,1.27870709920318,FiveVTS,GNAR,rand,2,,,,,GNAR
6,0.6,1.30150357876855,FiveVTS,GNAR,rand,2,,,,,GNAR
7,0.7,1.30150357876855,FiveVTS,GNAR,rand,2,,,,,GNAR
8,0.8,1.30150357876855,FiveVTS,GNAR,rand,2,,,,,GNAR
9,0.0,1.01634181614852,Chickenpox,GNAR,rand,4,,,,,GNAR
10,0.1,1.01645959540267,Chickenpox,GNAR,rand,4,,,,,GNAR
11,0.2,1.01584515754526,Chickenpox,GNAR,rand,4,,,,,GNAR
12,0.3,1.01848093600512,Chickenpox,GNAR,rand,4,,,,,GNAR
13,0.4,1.02084296708951,Chickenpox,GNAR,rand,4,,,,,GNAR
14,0.5,1.01915849596133,Chickenpox,GNAR,rand,4,,,,,GNAR
15,0.6,1.02160026552725,Chickenpox,GNAR,rand,4,,,,,GNAR
16,0.7,1.02141099344553,Chickenpox,GNAR,rand,4,,,,,GNAR
17,0.8,1.02008449727355,Chickenpox,GNAR,rand,4,,,,,GNAR
18,0.0,0.501602814763096,Pedalme,GNAR,rand,4,,,,,GNAR
19,0.1,0.497101815574201,Pedalme,GNAR,rand,4,,,,,GNAR
20,0.2,0.502781951249581,Pedalme,GNAR,rand,4,,,,,GNAR
21,0.3,0.514857947488031,Pedalme,GNAR,rand,4,,,,,GNAR
22,0.4,0.522620545384129,Pedalme,GNAR,rand,4,,,,,GNAR
23,0.5,0.591779987845586,Pedalme,GNAR,rand,4,,,,,GNAR
24,0.6,0.491737119855636,Pedalme,GNAR,rand,4,,,,,GNAR
25,0.7,0.491737119855636,Pedalme,GNAR,rand,4,,,,,GNAR
26,0.8,0.491737119855636,Pedalme,GNAR,rand,4,,,,,GNAR
27,0.0,0.902225993240546,Wikimath,GNAR,rand,8,,,,,GNAR
28,0.1,0.901576934257025,Wikimath,GNAR,rand,8,,,,,GNAR
29,0.2,0.901567736803797,Wikimath,GNAR,rand,8,,,,,GNAR
30,0.3,0.911256689517067,Wikimath,GNAR,rand,8,,,,,GNAR
31,0.4,0.95764476570367,Wikimath,GNAR,rand,8,,,,,GNAR
32,0.5,0.904264588724989,Wikimath,GNAR,rand,8,,,,,GNAR
33,0.6,0.946520296918028,Wikimath,GNAR,rand,8,,,,,GNAR
34,0.7,0.960710818656041,Wikimath,GNAR,rand,8,,,,,GNAR
35,0.8,1.07726145079173,Wikimath,GNAR,rand,8,,,,,GNAR
36,0.8,0.980465007853614,Windmillsmall,GNAR,rand,8,,,,,GNAR
37,0.7,0.980465007853614,Windmillsmall,GNAR,rand,8,,,,,GNAR
38,0.6,0.980742615896619,Windmillsmall,GNAR,rand,8,,,,,GNAR
39,0.5,0.980465007853614,Windmillsmall,GNAR,rand,8,,,,,GNAR
40,0.4,0.980529157673243,Windmillsmall,GNAR,rand,8,,,,,GNAR
41,0.3,0.980548927794843,Windmillsmall,GNAR,rand,8,,,,,GNAR
42,0.2,0.980486712335988,Windmillsmall,GNAR,rand,8,,,,,GNAR
43,0.1,0.980471934178215,Windmillsmall,GNAR,rand,8,,,,,GNAR
44,0.0,0.980486581012802,Windmillsmall,GNAR,rand,8,,,,,GNAR
45,0.0,1.00286795510774,MontevideoBus,GNAR,rand,8,,,,,GNAR
46,0.1,1.00274352305498,MontevideoBus,GNAR,rand,8,,,,,GNAR
47,0.2,1.00274977049149,MontevideoBus,GNAR,rand,8,,,,,GNAR
48,0.3,1.0027707722446,MontevideoBus,GNAR,rand,8,,,,,GNAR
49,0.4,1.00153326514002,MontevideoBus,GNAR,rand,8,,,,,GNAR
50,0.5,1.00227782878409,MontevideoBus,GNAR,rand,8,,,,,GNAR
51,0.6,1.00213498697009,MontevideoBus,GNAR,rand,8,,,,,GNAR
52,0.7,1.00312615011297,MontevideoBus,GNAR,rand,8,,,,,GNAR
53,0.8,1.00319613085689,MontevideoBus,GNAR,rand,8,,,,,GNAR
