,dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model
0,sindmillsmallGConcGRU,STGCN,0.2861435009657343,block,8,12,linear,50,1.0460385084152222,6695.4760620594025,GConcGRU
1,sindmillsmallGConcGRU,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.99864399433136,38749.56950163841,GConcGRU
0,sindmillsmallGConcGRU,STGCN,0.2861435009657343,block,8,12,linear,50,1.006880283355713,6263.117374897003,GConcGRU
1,sindmillsmallGConcGRU,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.0232418775558472,34056.878814935684,GConcGRU
0,sindmillsmallGConcGRU,STGCN,0.2861435009657343,block,8,12,linear,50,1.0082908868789673,6264.5688989162445,GConcGRU
1,sindmillsmallGConcGRU,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.0053701400756836,37616.03779149056,GConcGRU
0,sindmillsmallGConcGRU,STGCN,0.2861435009657343,block,8,12,linear,50,1.0083990097045898,6301.618956804276,GConcGRU
1,sindmillsmallGConcGRU,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.016239047050476,38620.8010635376,GConcGRU
0,sindmillsmallGConcGRU,STGCN,0.2861435009657343,block,8,12,linear,50,1.011942982673645,5504.995939016342,GConcGRU
1,sindmillsmallGConcGRU,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.0060291290283203,44171.90703749657,GConcGRU
0,sindmillsmallGConcGRU,STGCN,0.2861435009657343,block,8,12,linear,50,1.0107957124710083,5918.47300028801,GConcGRU
1,sindmillsmallGConcGRU,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.0118237733840942,42283.49554729462,GConcGRU
0,sindmillsmallGConcGRU,STGCN,0.2861435009657343,block,8,12,linear,50,1.0111775398254397,6178.68811917305,GConcGRU
1,sindmillsmallGConcGRU,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.0262912511825562,54543.95184135437,GConcGRU
0,sindmillsmallGConcGRU,STGCN,0.2861435009657343,block,8,12,linear,50,1.020792841911316,10986.76433134079,GConcGRU
1,sindmillsmallGConcGRU,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.0024069547653198,59300.8805847168,GConcGRU
0,sindmillsmallGConcGRU,STGCN,0.2861435009657343,block,8,12,linear,50,1.0120481252670288,7522.8462290763855,GConcGRU
1,sindmillsmallGConcGRU,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.0057867765426636,60274.30009651184,GConcGRU
0,sindmillsmallGConcGRU,STGCN,0.2861435009657343,block,8,12,linear,50,1.01056170463562,5950.045270681381,GConcGRU
1,sindmillsmallGConcGRU,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.0141185522079468,47822.16801476479,GConcGRU
0,sindmillsmallGConcGRU,STGCN,0.2861435009657343,block,8,12,linear,50,1.0443775653839111,5545.0644967556,GConcGRU
1,sindmillsmallGConcGRU,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.0217163562774658,62322.24009466171,GConcGRU
0,sindmillsmallGConcGRU,STGCN,0.2861435009657343,block,8,12,linear,50,1.0200698375701904,6624.834922552109,GConcGRU
1,sindmillsmallGConcGRU,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.0028687715530396,58108.22736787796,GConcGRU
0,sindmillsmallGConcGRU,STGCN,0.2861435009657343,block,8,12,linear,50,1.0144495964050293,6072.362341880798,GConcGRU
1,sindmillsmallGConcGRU,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.0119433403015137,67222.35635328293,GConcGRU
0,sindmillsmallGConcGRU,STGCN,0.2861435009657343,block,8,12,linear,50,1.019160509109497,8816.317344903946,GConcGRU
1,sindmillsmallGConcGRU,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.0026978254318235,64487.22052550316,GConcGRU
